,index,patch_number,name,patch_data,file_path,syx_file,has_fixed_freqs,id,wav_path,inaudible
0,0,0,Triangle ,"{
    'name': 'Triangle ',
    'modmatrix': [
		[0, 0, 0, 0, 0, 0],
		[0, 0, 1, 0, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 1],
		[0, 0, 0, 0, 0, 1],
		[0, 0, 0, 0, 0, 1]
    ],
    'outmatrix': [1, 1, 0, 1, 1, 0],
    'feedback': 5,
    'fixed_freq': [1, 1, 1, 1, 1, 1],
    'coarse': [1, 3, 3, 3, 3, 3],
    'fine': [54, 43, 60, 55, 92, 42],
    'detune': [0, 0, 0, 0, 0, 0],
    'transpose': 12,
    'ol': [99, 76, 99, 87, 99, 99],
    'eg_rate': [
		[99, 99, 99, 99, 99, 99],
		[99, 99, 99, 99, 99, 99],
		[25, 35, 35, 22, 27, 35],
		[17, 65, 65, 46, 64, 65]
    ],
    'eg_level': [
		[99, 99, 99, 99, 99, 99],
		[66, 90, 96, 97, 99, 99],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 0]
    ],
    'sensitivity': [0, 0, 2, 0, 1, 1],
    'has_fixed_freq': True,
}",DX7_YAMAHA/GreyMatter E! Card/7.syx,7.syx,True,0,DX7_YAMAHA/GreyMatter E! Card/7/0_Triangle .wav,False
1,2,2,Snare Snp,"{
    'name': 'Snare Snp',
    'modmatrix': [
		[0, 1, 1, 0, 1, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 1, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 1],
		[0, 0, 0, 0, 0, 1]
    ],
    'outmatrix': [1, 0, 0, 0, 0, 0],
    'feedback': 7,
    'fixed_freq': [1, 1, 1, 1, 1, 1],
    'coarse': [3, 1, 2, 0, 0, 2],
    'fine': [99, 25, 0, 0, 36, 23],
    'detune': [0, 0, 0, 0, 0, 0],
    'transpose': 0,
    'ol': [99, 73, 39, 79, 70, 99],
    'eg_rate': [
		[99, 99, 99, 99, 99, 90],
		[99, 50, 47, 39, 42, 54],
		[24, 64, 99, 27, 20, 33],
		[34, 50, 47, 39, 42, 54]
    ],
    'eg_level': [
		[99, 99, 99, 99, 99, 99],
		[99, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 0]
    ],
    'sensitivity': [0, 2, 0, 0, 0, 1],
    'has_fixed_freq': True,
}",DX7_YAMAHA/GreyMatter E! Card/7.syx,7.syx,True,2,DX7_YAMAHA/GreyMatter E! Card/7/2_Snare Snp.wav,False
2,3,3,Windchime,"{
    'name': 'Windchime',
    'modmatrix': [
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 1],
		[0, 0, 0, 0, 0, 1]
    ],
    'outmatrix': [1, 1, 1, 1, 1, 0],
    'feedback': 7,
    'fixed_freq': [0, 1, 0, 0, 0, 0],
    'coarse': [12, 0, 12, 11, 13, 6],
    'fine': [2, 52, 0, 57, 0, 0],
    'detune': [-1, 0, 1, 1, 0, 0],
    'transpose': 0,
    'ol': [92, 99, 99, 99, 99, 99],
    'eg_rate': [
		[99, 99, 99, 99, 99, 69],
		[58, 58, 58, 58, 58, 58],
		[29, 26, 32, 40, 32, 32],
		[28, 27, 31, 41, 31, 29]
    ],
    'eg_level': [
		[92, 90, 90, 90, 90, 90],
		[81, 75, 75, 75, 75, 75],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 0]
    ],
    'sensitivity': [0, 0, 0, 0, 0, 0],
    'has_fixed_freq': True,
}",DX7_YAMAHA/GreyMatter E! Card/7.syx,7.syx,True,3,DX7_YAMAHA/GreyMatter E! Card/7/3_Windchime.wav,False
3,4,4,Crasher 1,"{
    'name': 'Crasher 1',
    'modmatrix': [
		[0, 1, 1, 1, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 1, 0, 0, 0],
		[0, 0, 0, 0, 1, 0],
		[0, 0, 0, 0, 0, 1],
		[0, 0, 0, 0, 0, 0]
    ],
    'outmatrix': [1, 0, 0, 0, 0, 0],
    'feedback': 6,
    'fixed_freq': [1, 1, 1, 1, 1, 1],
    'coarse': [1, 3, 2, 3, 2, 1],
    'fine': [35, 29, 12, 89, 66, 27],
    'detune': [0, 0, 0, 0, 0, 0],
    'transpose': 0,
    'ol': [79, 80, 85, 64, 75, 92],
    'eg_rate': [
		[82, 67, 65, 89, 75, 87],
		[86, 99, 80, 91, 88, 82],
		[35, 15, 28, 41, 38, 28],
		[12, 19, 19, 21, 25, 28]
    ],
    'eg_level': [
		[89, 91, 91, 99, 84, 89],
		[99, 99, 99, 99, 99, 99],
		[99, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 0]
    ],
    'sensitivity': [1, 0, 0, 0, 2, 3],
    'has_fixed_freq': True,
}",DX7_YAMAHA/GreyMatter E! Card/7.syx,7.syx,True,4,DX7_YAMAHA/GreyMatter E! Card/7/4_Crasher 1.wav,False
4,5,5,Crasher 2,"{
    'name': 'Crasher 2',
    'modmatrix': [
		[0, 1, 1, 1, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 1, 0, 0, 0],
		[0, 0, 0, 0, 1, 0],
		[0, 0, 0, 0, 0, 1],
		[0, 0, 0, 0, 0, 0]
    ],
    'outmatrix': [1, 0, 0, 0, 0, 0],
    'feedback': 6,
    'fixed_freq': [1, 1, 1, 1, 1, 1],
    'coarse': [1, 2, 2, 3, 3, 1],
    'fine': [71, 72, 12, 89, 99, 27],
    'detune': [0, 0, 0, 0, 0, 0],
    'transpose': 0,
    'ol': [57, 85, 83, 73, 75, 93],
    'eg_rate': [
		[80, 57, 78, 99, 71, 80],
		[86, 99, 80, 91, 88, 82],
		[19, 11, 28, 41, 25, 28],
		[12, 9, 19, 21, 24, 28]
    ],
    'eg_level': [
		[89, 91, 91, 99, 84, 89],
		[99, 99, 99, 99, 99, 99],
		[99, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 0]
    ],
    'sensitivity': [1, 0, 0, 0, 2, 3],
    'has_fixed_freq': True,
}",DX7_YAMAHA/GreyMatter E! Card/7.syx,7.syx,True,5,DX7_YAMAHA/GreyMatter E! Card/7/5_Crasher 2.wav,False
5,6,6,Hi-Hat 1 ,"{
    'name': 'Hi-Hat 1 ',
    'modmatrix': [
		[0, 1, 0, 0, 0, 0],
		[0, 0, 1, 0, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 1, 1],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 1]
    ],
    'outmatrix': [1, 0, 0, 1, 0, 0],
    'feedback': 0,
    'fixed_freq': [1, 1, 1, 1, 1, 1],
    'coarse': [3, 2, 0, 3, 2, 0],
    'fine': [87, 99, 43, 4, 57, 46],
    'detune': [0, 0, 0, 0, 0, 0],
    'transpose': 0,
    'ol': [79, 94, 99, 99, 91, 99],
    'eg_rate': [
		[97, 96, 77, 95, 96, 76],
		[89, 82, 64, 28, 28, 60],
		[20, 99, 96, 99, 21, 96],
		[11, 20, 60, 14, 20, 60]
    ],
    'eg_level': [
		[99, 99, 99, 99, 99, 99],
		[99, 99, 0, 99, 99, 0],
		[99, 99, 0, 99, 99, 0],
		[0, 0, 0, 0, 0, 0]
    ],
    'sensitivity': [0, 0, 3, 0, 0, 2],
    'has_fixed_freq': True,
}",DX7_YAMAHA/GreyMatter E! Card/7.syx,7.syx,True,6,DX7_YAMAHA/GreyMatter E! Card/7/6_Hi-Hat 1 .wav,False
6,7,7,Hi-Hat 2 ,"{
    'name': 'Hi-Hat 2 ',
    'modmatrix': [
		[0, 1, 0, 0, 0, 0],
		[0, 0, 1, 0, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 1, 1],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 1]
    ],
    'outmatrix': [1, 0, 0, 1, 0, 0],
    'feedback': 7,
    'fixed_freq': [1, 1, 1, 1, 1, 1],
    'coarse': [3, 2, 0, 3, 2, 0],
    'fine': [87, 99, 43, 4, 57, 46],
    'detune': [0, 0, 0, 0, 0, 0],
    'transpose': 0,
    'ol': [79, 97, 99, 99, 92, 99],
    'eg_rate': [
		[97, 96, 72, 95, 96, 64],
		[89, 82, 55, 24, 26, 50],
		[20, 99, 90, 91, 21, 96],
		[10, 19, 61, 14, 19, 58]
    ],
    'eg_level': [
		[99, 99, 99, 99, 99, 99],
		[99, 99, 0, 99, 99, 0],
		[99, 99, 0, 99, 99, 0],
		[0, 0, 0, 0, 0, 0]
    ],
    'sensitivity': [0, 0, 3, 0, 0, 2],
    'has_fixed_freq': True,
}",DX7_YAMAHA/GreyMatter E! Card/7.syx,7.syx,True,7,DX7_YAMAHA/GreyMatter E! Card/7/7_Hi-Hat 2 .wav,False
7,9,9,Cowbell 2,"{
    'name': 'Cowbell 2',
    'modmatrix': [
		[0, 1, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 1, 1, 1],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 1]
    ],
    'outmatrix': [1, 0, 1, 0, 0, 0],
    'feedback': 7,
    'fixed_freq': [1, 1, 1, 1, 1, 1],
    'coarse': [2, 2, 3, 2, 3, 2],
    'fine': [78, 99, 4, 43, 6, 51],
    'detune': [0, 0, 0, 0, 0, 0],
    'transpose': 0,
    'ol': [83, 73, 84, 99, 99, 99],
    'eg_rate': [
		[96, 99, 96, 96, 96, 96],
		[63, 57, 98, 65, 80, 45],
		[42, 90, 44, 65, 48, 50],
		[35, 34, 38, 39, 36, 52]
    ],
    'eg_level': [
		[99, 99, 99, 99, 41, 99],
		[96, 90, 96, 0, 79, 90],
		[89, 0, 97, 0, 0, 0],
		[0, 0, 0, 0, 0, 0]
    ],
    'sensitivity': [7, 5, 0, 0, 1, 1],
    'has_fixed_freq': True,
}",DX7_YAMAHA/GreyMatter E! Card/7.syx,7.syx,True,9,DX7_YAMAHA/GreyMatter E! Card/7/9_Cowbell 2.wav,False
8,10,10,Agogobell,"{
    'name': 'Agogobell',
    'modmatrix': [
		[0, 1, 0, 0, 0, 0],
		[0, 1, 0, 0, 0, 0],
		[0, 0, 0, 1, 0, 0],
		[0, 0, 0, 0, 1, 1],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 0]
    ],
    'outmatrix': [1, 0, 1, 0, 0, 0],
    'feedback': 1,
    'fixed_freq': [1, 1, 1, 0, 1, 0],
    'coarse': [0, 3, 3, 1, 3, 1],
    'fine': [24, 4, 55, 0, 48, 0],
    'detune': [0, 0, 0, 0, 0, 0],
    'transpose': 12,
    'ol': [58, 79, 79, 99, 99, 99],
    'eg_rate': [
		[99, 99, 99, 99, 99, 99],
		[49, 40, 22, 30, 92, 40],
		[28, 38, 50, 35, 20, 33],
		[12, 20, 21, 43, 44, 35]
    ],
    'eg_level': [
		[91, 91, 99, 99, 99, 99],
		[82, 82, 0, 92, 0, 92],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 0]
    ],
    'sensitivity': [0, 0, 3, 3, 3, 2],
    'has_fixed_freq': True,
}",DX7_YAMAHA/GreyMatter E! Card/7.syx,7.syx,True,10,DX7_YAMAHA/GreyMatter E! Card/7/10_Agogobell.wav,False
9,11,11,Agogobell,"{
    'name': 'Agogobell',
    'modmatrix': [
		[0, 1, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 1, 1, 0],
		[0, 0, 0, 1, 0, 0],
		[0, 0, 0, 0, 0, 1],
		[0, 0, 0, 0, 0, 0]
    ],
    'outmatrix': [1, 0, 1, 0, 0, 0],
    'feedback': 6,
    'fixed_freq': [0, 0, 0, 0, 1, 1],
    'coarse': [15, 20, 7, 2, 3, 0],
    'fine': [8, 2, 8, 4, 2, 1],
    'detune': [1, 1, 0, 0, 0, 0],
    'transpose': 0,
    'ol': [86, 68, 84, 99, 96, 99],
    'eg_rate': [
		[99, 85, 99, 98, 99, 99],
		[79, 67, 34, 47, 18, 74],
		[92, 96, 38, 38, 0, 99],
		[71, 25, 28, 43, 0, 79]
    ],
    'eg_level': [
		[99, 99, 99, 99, 99, 99],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 0]
    ],
    'sensitivity': [0, 0, 4, 0, 0, 0],
    'has_fixed_freq': True,
}",DX7_YAMAHA/GreyMatter E! Card/7.syx,7.syx,True,11,DX7_YAMAHA/GreyMatter E! Card/7/11_Agogobell.wav,False
