,id,wav_path,name,caption
0,0,DX7_YAMAHA/GreyMatter E! Card/7/0_Triangle .wav,Triangle ,"Electronic tone, which has a pure, bright timbre and an immediate, sharp attack and release."
1,2,DX7_YAMAHA/GreyMatter E! Card/7/2_Snare Snp.wav,Snare Snp,"Snare drum, which is bright and sharp with a very fast attack and rapid decay, reminiscent of a rimshot."
2,3,DX7_YAMAHA/GreyMatter E! Card/7/3_Windchime.wav,Windchime,"Chimes, which have a bright, metallic timbre and a sharp, percussive attack followed by a long, resonant decay."
3,4,DX7_YAMAHA/GreyMatter E! Card/7/4_Crasher 1.wav,Crasher 1,"Percussive crash, which features an instantaneous, bright attack and a metallic, slightly gritty timbre that decays quickly."
4,5,DX7_YAMAHA/GreyMatter E! Card/7/5_Crasher 2.wav,Crasher 2,"Percussive crash, which has a bright, metallic timbre with a very fast attack and a long, decaying tail."
5,6,DX7_YAMAHA/GreyMatter E! Card/7/6_Hi-Hat 1 .wav,Hi-Hat 1 ,"Hi-hat, which has a bright, metallic timbre and a sharp attack with a very fast decay."
6,7,DX7_YAMAHA/GreyMatter E! Card/7/7_Hi-Hat 2 .wav,Hi-Hat 2 ,"Hi-hat, which has a bright, metallic, and slightly hissing timbre with a very short, percussive envelope."
7,9,DX7_YAMAHA/GreyMatter E! Card/7/9_Cowbell 2.wav,Cowbell 2,"Cowbell, which has a bright, metallic timbre with a sharp attack and a rapid decay."
8,10,DX7_YAMAHA/GreyMatter E! Card/7/10_Agogobell.wav,Agogobell,"Bell, which has a bright, metallic timbre with a sharp attack and a long, resonant decay."
9,11,DX7_YAMAHA/GreyMatter E! Card/7/11_Agogobell.wav,Agogobell,"Bell, which has a bright, metallic timbre with a sharp, percussive attack and a rapid decay."
10,12,DX7_YAMAHA/GreyMatter E! Card/7/12_Shaker   .wav,Shaker   ,"Shaker, which has a bright, rattling timbre with a very quick attack and decay."
11,13,DX7_YAMAHA/GreyMatter E! Card/7/13_Maracas  .wav,Maracas  ,"Maracas, which features a bright, rattling timbre with a sharp, immediate attack and quick decay."
12,14,DX7_YAMAHA/GreyMatter E! Card/7/14_Samba whs.wav,Samba whs,"Whistle, which has a bright, piercing timbre and a percussive envelope with a sharp attack and short decay."
13,15,DX7_YAMAHA/GreyMatter E! Card/7/15_Acmesiren.wav,Acmesiren,"Siren, which features a bright, piercing timbre that rapidly sweeps in pitch with a sustained, alarm-like envelope."
14,16,DX7_YAMAHA/GreyMatter E! Card/7/16_Quijada  .wav,Quijada  ,"Metallic resonance, which has a bright and percussive timbre with a sharp, plucked attack and a long, ringing decay."
15,17,DX7_YAMAHA/GreyMatter E! Card/7/17_Timpani  .wav,Timpani  ,"Pitched percussion drum, which has a clear, resonant timbre with a strong attack and a relatively quick decay."
16,19,DX7_YAMAHA/GreyMatter E! Card/7/19_Sleighbel.wav,Sleighbel,"Bells, which have a very bright, clear, and metallic timbre with a sharp, immediate attack and a relatively quick decay."
17,20,DX7_YAMAHA/GreyMatter E! Card/7/20_Flexatone.wav,Flexatone,"Metallic percussion, which has a bright, resonant timbre and a very short, non-sustaining envelope."
18,21,DX7_YAMAHA/GreyMatter E! Card/7/21_China Gon.wav,China Gon,"Gong, which has a bright, metallic timbre with a sharp, explosive attack and a long, resonant decay."
19,22,DX7_YAMAHA/GreyMatter E! Card/7/22_Syn.Gong .wav,Syn.Gong ,"Gong, which has a bright, metallic timbre with a percussive attack and a natural, decaying sustain."
20,23,DX7_YAMAHA/GreyMatter E! Card/7/24_Tabla  2 .wav,Tabla  2 ,"Tabla drum, which has a resonant, woody timbre with a sharp, immediate attack and a relatively quick decay."
21,24,DX7_YAMAHA/GreyMatter E! Card/7/25_Echo Toms.wav,Echo Toms,"A tom drum, which has a deep, resonant timbre with a percussive attack and a distinct echoing decay."
22,25,DX7_YAMAHA/GreyMatter E! Card/7/26_Glassharp.wav,Glassharp,"Glass harp, which has a bright, clear timbre with a gentle attack and a long, resonant decay."
